Sl.No.,Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material Involved,Movement Type,History
33635,UK/CHA/53N03/2015/838,Uttarakhand,Chamoli,,National Highway-58,30.28425,79.249194,Debris,Slide,
33636,UK/CHA/53N07/2015/1249,Uttarakhand,Chamoli,,NH-58,30.284361,79.250694,Rock,Slide,
33638,UK/CHA/53N03/2015/642,Uttarakhand,Chamoli,,National Highway-58,30.284472,79.138611,Rock,Slide,
33641,UK/CHA/53N03/2015/624,Uttarakhand,Chamoli,,,30.284722,79.114167,Rock,Flow,
33642,UK/CHA/53N03/2015/757,Uttarakhand,Chamoli,,,30.28475,79.199056,Debris,Slide,
33644,UK/CHA/53N03/2015/641,Uttarakhand,Chamoli,,National Highway-58,30.284885,79.131163,Debris,Slide,
33645,UK/CHA/53N03/2015/648,Uttarakhand,Chamoli,,National Highway-58,30.284972,79.166111,Debris,Flow,
33647,UK/CHA/53N03/2015/643,Uttarakhand,Chamoli,,National Highway-58,30.285222,79.141639,Debris,Slide,
33648,UK/CHA/53N03/2015/756,Uttarakhand,Chamoli,,,30.285389,79.200444,Debris,Slide,
33649,UK/CHA/53N03/2015/760,Uttarakhand,Chamoli,,,30.285722,79.196194,Debris,Slide,
33650,UK/CHA/53N03/2015/644,Uttarakhand,Chamoli,,,30.285806,79.152389,Rock,Slide,
33651,UK/CHA/53N03/2015/841,Uttarakhand,Chamoli,,,30.286039,79.229401,Debris,Slide,
33652,UK/CHA/53N03/2015/759,Uttarakhand,Chamoli,,,30.286111,79.193333,Rock,Flow,
33653,UK/CHA/53N03/2015/758,Uttarakhand,Chamoli,,,30.286194,79.196556,Debris,Slide,
33654,UK/CHA/53N03/2015/761,Uttarakhand,Chamoli,,,30.28625,79.190528,Rock,Slide,
33657,UK/CHA/53N03/2015/755,Uttarakhand,Chamoli,,,30.28675,79.199222,Debris,Slide,
33658,UK/CHA/53N03/2015/754,Uttarakhand,Chamoli,,,30.286806,79.197583,Rock,Flow,
33659,UK/CHA/53N03/2015/640,Uttarakhand,Chamoli,,National Highway-58,30.287361,79.119083,Debris,Slide,
33660,UK/CHA/53N03/2015/753,Uttarakhand,Chamoli,,,30.287389,79.196639,Debris,Slide,
